Moneda,Precio,Dormitorios,Baños,Metros Cuadrados
UF,13.500,4,3,200
UF,13.500,6,5,400
UF,13.500,7,6,275
UF,13.573,6,2,220
UF,13.700,3,3,294
UF,13.700,4,2,240
UF,13.800,4,5,220
UF,13.800,4,5,200
UF,13.800,4,3,220
UF,13.921,5,5,300
UF,13.921,6,5,300
UF,14.155,8,6,284
Pesos,540.000.000,5,4,196
UF,14.450,3,2,307
UF,14.500,4,3,200
Pesos,550.000.000,3,1,360
Pesos,550.000.000,5,3,181
Pesos,550.000.000,5,4,183
UF,14.650,7,5,355
UF,14.650,7,4,335
UF,14.850,4,3,180
UF,15.000,5,3,200
UF,15.100,5,5,270
UF,15.174,5,3,262
UF,15.800,6,5,450
Pesos,600.000.000,12,5,190
Pesos,600.000.000,21,11,540
Pesos,600.000.000,6,4,496
UF,16.000,11,5,380
UF,16.000,13,12,500
UF,16.000,6,3,450
Pesos,610.000.000,3,1,175
UF,16.419,10,8,360
UF,16.500,6,6,320
UF,16.500,4,4,200
UF,16.700,6,5,315
UF,17.100,6,3,120
UF,18.000,12,8,5
UF,18.000,5,2,220
UF,18.700,14,14,440
UF,19.000,4,4,264
UF,19.200,4,4,190
UF,20.000,3,3,264
UF,20.200,2,3,225
UF,21.011,8,4,350
UF,22.000,5,3,2
UF,22.700,5,5,340
Pesos,950.000.000,4,2,180
UF,26.000,6,4,320
UF,27.500,5,6,350
UF,28.000,4,4,190
UF,30.000,5,3,400
UF,30.000,7,5,600
UF,30.000,5,4,374
UF,30.000,3,3,307
UF,32.000,15,20,630
UF,33.000,4,3,240
UF,33.000,4,3,240
UF,33.000,5,4,240
UF,34.000,4,2,367
UF,34.878,5,4,400
UF,35.000,5,5,583
UF,35.289,5,3,260
UF,35.900,9,4,258
UF,37.640,6,4,497
Pesos,1.500.000.000,6,3,480
UF,40.000,8,6,747
UF,40.000,7,2,588
UF,43.000,5,5,566
Pesos,2.147.483.647,3,1,282
UF,89.952,1,1,6
Pesos,68.000.000,3,1,130
Pesos,100.000.000,3,1,80
Pesos,130.000.000,3,1,60
Pesos,135.000.000,3,1,52
UF,4.270,4,4,120
Pesos,165.000.000,3,2,110
Pesos,165.000.000,6,2,219
Pesos,175.000.000,5,3,80
Pesos,190.000.000,3,2,110
Pesos,195.000.000,4,3,115
UF,7.000,4,3,300
UF,9.200,5,5,150
UF,13.830,4,2,200
UF,21.500,10,12,400
Pesos,1.200.000.000,10,7,300
