Moneda,Precio,Dormitorios,Baños,Metros Cuadrados
Pesos,220.000.000,4,3,170
Pesos,220.000.000,4,2,160
Pesos,220.000.000,3,3,119
Pesos,220.000.000,4,2,125
Pesos,220.000.000,4,4,165
Pesos,220.000.000,3,3,210
Pesos,225.000.000,3,2,110
Pesos,225.000.000,4,3,135
UF,6.000,3,2,143
UF,6.000,1,1,80
Pesos,229.000.000,4,3,140
Pesos,230.000.000,3,1,282
Pesos,230.000.000,6,3,140
Pesos,230.000.000,3,1,65
Pesos,230.000.000,3,2,126
Pesos,230.000.000,6,3,180
UF,6.135,3,2,160
Pesos,233.000.000,6,3,175
Pesos,233.000.000,6,3,175
UF,6.200,4,2,125
Pesos,235.000.000,4,3,138
Pesos,235.000.000,4,2,140
UF,6.367,4,3,155
Pesos,240.000.000,5,2,200
Pesos,240.000.000,4,2,230
UF,6.400,2,2,70
UF,6.400,4,2,105
UF,6.400,5,3,142
UF,6.422,4,3,135
Pesos,250.000.000,3,1,83
Pesos,250.000.000,3,1,120
Pesos,250.000.000,3,2,160
Pesos,250.000.000,3,2,5
Pesos,250.000.000,4,3,5
Pesos,250.000.000,4,2,123
Pesos,250.000.000,3,2,81
UF,6.650,4,3,130
UF,6.658,3,2,160
Pesos,255.000.000,4,2,145
UF,6.800,5,3,138
UF,6.800,4,3,138
UF,6.800,4,3,138
UF,6.800,4,3,187
Pesos,258.000.000,4,2,128
UF,6.900,4,3,145
Pesos,260.000.000,6,4,240
Pesos,260.000.000,3,2,120
Pesos,260.000.000,3,2,120
Pesos,260.000.000,3,3,100
Pesos,260.000.000,4,2,600
UF,6.950,4,2,170
UF,6.950,4,3,280
UF,7.000,9,5,170
UF,7.000,3,3,101
UF,7.000,7,3,270
UF,7.000,3,2,115
Pesos,265.000.000,3,2,130
UF,7.050,3,2,6
Pesos,266.188.000,5,3,165
Pesos,270.000.000,6,3,220
Pesos,270.000.000,4,3,230
Pesos,270.000.000,4,2,122
Pesos,270.000.000,3,2,177
UF,7.190,4,3,140
Pesos,280.000.000,3,3,130
Pesos,280.000.000,4,3,250
Pesos,280.000.000,6,3,188
Pesos,280.000.000,4,2,140
Pesos,280.000.000,3,2,120
Pesos,280.000.000,8,6,341
Pesos,280.000.000,3,2,105
Pesos,280.000.000,5,3,260
Pesos,280.000.000,4,3,143
UF,7.500,3,3,105
UF,7.500,3,3,94
UF,7.500,5,3,176
UF,7.592,3,2,122
UF,7.650,4,4,140
Pesos,290.000.000,3,2,228
Pesos,290.000.000,4,3,200
Pesos,290.000.000,3,2,145
Pesos,295.000.000,6,3,180
Pesos,297.000.000,3,3,116
Pesos,297.000.000,3,3,125
UF,7.927,3,2,108
Pesos,299.000.000,3,3,170
Pesos,300.000.000,4,3,170
Pesos,300.000.000,4,2,342
Pesos,300.000.000,17,9,520
Pesos,300.000.000,4,2,200
UF,8.000,4,3,5
UF,8.000,4,3,230
UF,8.020,3,2,99
UF,8.300,5,4,214
UF,8.300,5,4,290
UF,8.300,5,4,189
UF,8.300,5,3,176
Pesos,315.000.000,5,2,135
Pesos,315.000.000,4,2,150
UF,8.500,4,3,140
UF,8.500,4,2,233
Pesos,320.000.000,3,2,6
Pesos,320.000.000,4,2,105
Pesos,320.000.000,4,3,20
Pesos,320.000.000,9,5,353
Pesos,320.000.000,3,2,256
Pesos,320.000.000,7,3,219
UF,8.522,3,3,124
UF,8.600,3,3,160
UF,8.600,3,3,160
UF,8.700,5,4,140
UF,8.700,5,3,214
UF,8.700,4,4,200
UF,8.700,5,4,290
Pesos,330.000.000,2,1,156
UF,8.900,4,3,240
UF,9.000,5,2,146
Pesos,340.000.000,5,4,218
Pesos,340.000.000,5,3,240
UF,9.050,4,3,185
UF,9.078,4,3,170
UF,9.150,5,4,410
Pesos,345.000.000,3,3,189
UF,9.180,4,3,155
UF,9.180,3,3,155
UF,9.180,4,3,155
UF,9.180,4,3,148
UF,9.300,3,3,189
UF,9.300,12,7,360
UF,9.307,5,4,218
UF,9.500,4,3,130
UF,9.500,5,3,136
UF,9.500,4,2,155
UF,9.500,4,3,400
UF,9.500,4,3,155
Pesos,360.000.000,3,1,80
Pesos,360.000.000,5,2,393
Pesos,360.000.000,2,1,40
UF,9.600,5,3,225
UF,9.600,4,4,140
UF,9.600,4,3,200
UF,9.670,4,3,278
Pesos,365.000.000,4,4,900
UF,9.700,4,3,140
UF,9.700,3,4,140
UF,9.700,3,2,200
UF,9.700,4,3,135
UF,9.800,3,2,130
UF,9.800,3,2,140
UF,9.800,3,3,145
UF,9.800,3,3,145
UF,9.900,3,2,128
UF,9.900,3,2,128
UF,9.900,3,3,150
UF,9.900,3,2,120
UF,9.950,4,3,150
UF,9.950,4,4,140
UF,10.000,4,3,200
UF,10.000,4,3,142
UF,10.000,3,2,173
UF,10.000,4,4,173
UF,10.000,2,2,130
UF,10.000,3,3,150
UF,10.000,6,2,300
UF,10.000,3,2,90
UF,10.000,3,3,173
UF,10.000,10,10,400
UF,10.000,6,2,100
UF,10.000,3,3,230
Pesos,378.400.000,5,3,225
Pesos,380.000.000,3,3,135
Pesos,380.000.000,4,3,130
Pesos,380.000.000,4,3,135
UF,10.200,4,2,120
Pesos,385.000.000,5,4,226
UF,10.350,3,1,100
UF,10.350,4,1,400
UF,10.350,4,1,100
UF,10.350,4,2,250
UF,10.350,4,2,115
UF,10.350,3,3,250
Pesos,390.000.000,4,3,200
Pesos,390.000.000,6,4,450
Pesos,390.000.000,5,4,140
UF,10.500,5,2,286
UF,10.500,4,3,155
